id    ,name_en_CA                           ,name_fr_CA                           ,lat             ,lon              ,region,timeZone,compositeStation,stationType,province,city                    ,address                                            ,altitude,environment,aqhiAlgorithm,calculateHistory,forecastCentre,grouping,sortOrder
61703 ,Oshawa                               ,Oshawa                               ,43.95222        ,-78.9125         ,3     ,4       ,                ,1          ,6       ,Oshawa                  ,Britannia Ave. W.                                  ,49.0    ,2          ,1            ,1               ,4             ,        ,27
61802 ,Guelph                               ,Guelph                               ,43.551611       ,-80.264167       ,3     ,4       ,                ,1          ,6       ,Guelph                  ,70 DIVISION STREET                                 ,339.0   ,2          ,1            ,1               ,4             ,        ,11
62001 ,North Bay                            ,North Bay                            ,46.323194       ,-79.449278       ,3     ,4       ,                ,1          ,6       ,North Bay               ,CHIPPEWA ST.                                       ,207.0   ,2          ,1            ,1               ,4             ,        ,38
62501 ,Tiverton                             ,Tiverton                             ,44.314472       ,-81.549722       ,3     ,4       ,                ,1          ,6       ,Tiverton                ,BRUCE NUCLEAR VISITOR CTR                          ,200.0   ,6          ,1            ,1               ,4             ,        ,8
63001 ,Burlington                           ,Burlington                           ,43.315111       ,-79.802639       ,3     ,4       ,                ,1          ,6       ,Burlington              ,HWY 2 & NORTH SHORE BLVD.                          ,275.0   ,2          ,1            ,1               ,4             ,        ,16
63301 ,Dorset                               ,Dorset                               ,45.224278       ,-78.932944       ,3     ,4       ,                ,1          ,6       ,Dorset                  ,HWY 117 & PAINT LAKE ROAD                          ,326.0   ,5          ,1            ,1               ,4             ,        ,31
63701 ,Grand Bend                           ,Grand Bend                           ,43.333083       ,-81.742889       ,3     ,4       ,                ,1          ,6       ,Grand Bend              ,HWY 21 & COUNTY RD 83                              ,195.0   ,6          ,1            ,1               ,4             ,        ,7
64001 ,Experimental Lakes                   ,Experimental Lakes                   ,49.6638888888889,-93.7211111111111,3     ,4       ,                ,1          ,6       ,Exp. Lakes Area         ,EXP. LAKES AREA                                    ,372.0   ,5          ,             ,0               ,4             ,        ,42
64101 ,Algoma                               ,Algoma                               ,47.035          ,-84.3811111111111,3     ,4       ,                ,1          ,6       ,Algoma                  ,ALGOMA                                             ,414.0   ,5          ,             ,0               ,4             ,        ,43
64401 ,Egbert                               ,Egbert                               ,44.2325         ,-79.7813888888889,3     ,4       ,                ,1          ,6       ,Egbert                  ,EGBERT                                             ,256.0   ,4          ,             ,0               ,4             ,        ,44
65001 ,Barrie                               ,Barrie                               ,44.382361       ,-79.702306       ,3     ,4       ,                ,1          ,6       ,Barrie                  ,85 PERRY STREET                                    ,        ,2          ,1            ,1               ,4             ,        ,29
65101 ,Newmarket                            ,Newmarket                            ,44.044306       ,-79.48325        ,3     ,4       ,                ,1          ,6       ,Newmarket               ,EAGLE ST. & McCAFFREY RD.                          ,        ,2          ,1            ,1               ,4             ,        ,28
65201 ,Parry Sound                          ,Parry Sound                          ,45.337861       ,-80.038167       ,3     ,4       ,                ,1          ,6       ,Parry Sound             ,7 BAY STREET                                       ,        ,2          ,1            ,1               ,4             ,        ,32
65301 ,Port Stanley                         ,Port Stanley                         ,42.672083       ,-81.162889       ,3     ,4       ,                ,1          ,6       ,Port Stanley            ,43665 DEXTER LINE                                  ,217.0   ,1          ,1            ,1               ,4             ,        ,5
