id    ,name_en_CA                           ,name_fr_CA                           ,lat   ,lon     ,province,city                    ,address
60437 ,York University                      ,York University                      ,43.768,-79.506 ,6       ,Toronto                 ,Passy Crescent & Assiniboine Rd
60440 ,Toronto North                        ,Toronto North                        ,43.780,-79.467 ,6       ,Toronto                 ,4905 Dufferin Street
60450 ,Brampton                             ,Brampton                             ,43.670,-79.767 ,6       ,Brampton                ,109 McLaughlin Road South
60512 ,Hamilton Downtown                    ,Hamilton - centre-ville              ,43.258,-79.862 ,6       ,Hamilton                ,ELGIN & KELLY
60515 ,Hamilton West                        ,Hamilton Ouest                       ,43.257,-79.908 ,6       ,Hamilton                ,Main St. W./hwy 403
60521 ,Hamilton Mountain                    ,Hamilton Mountain                    ,43.241,-79.889 ,6       ,Hamilton                ,250 Fennell Ave. W.
60610 ,Sudbury                              ,Sudbury                              ,46.492,-81.003 ,6       ,Sudbury                 ,155 Elm Street
60709 ,Sault Ste. Marie                     ,Sault Ste. Marie                     ,46.533,-84.310 ,6       ,Sault Sainte Marie      ,"443 NORTHERN AVE., SAULT COLLEGE"
60808 ,Thunder Bay                          ,Thunder Bay                          ,48.379,-89.290 ,6       ,Thunder Bay             ,421 JAMES STREET SOUTH
60904 ,London                               ,London                               ,42.974,-81.201 ,6       ,London                  ,42 St. Julien Street
61009 ,Sarnia                               ,Sarnia                               ,42.990,-82.395 ,6       ,Sarnia                  ,720 Christina St. N.
61104 ,Peterborough                         ,Peterborough                         ,44.302,-78.346 ,6       ,Peterborough            ,10 HOSPITAL DRIVE
61201 ,Cornwall                             ,Cornwall                             ,45.018,-74.735 ,6       ,Cornwall                ,BEDFORD & THIRD ST.
61302 ,St Catharines                        ,St Catharines                        ,43.160,-79.235 ,6       ,St. Catharines          ,ARGYLE CRESCENT
61402 ,Brantford                            ,Brantford                            ,43.139,-80.293 ,6       ,Brantford               ,324 GRAND RIVER AVE.
61502 ,Kitchener                            ,Kitchener                            ,43.444,-80.504 ,6       ,Kitchener               ,WEST AVE. & HOMEWOOD
61603 ,Oakville                             ,Oakville                             ,43.487,-79.702 ,6       ,Oakville                ,8TH LINE/GLENASHTON DR.
61703 ,Oshawa                               ,Oshawa                               ,43.952,-78.913 ,6       ,Oshawa                  ,Britannia Ave. W.
61802 ,Guelph                               ,Guelph                               ,43.552,-80.264 ,6       ,Guelph                  ,70 DIVISION STREET
62001 ,North Bay                            ,North Bay                            ,46.323,-79.449 ,6       ,North Bay               ,CHIPPEWA ST.
62501 ,Tiverton                             ,Tiverton                             ,44.314,-81.550 ,6       ,Tiverton                ,BRUCE NUCLEAR VISITOR CTR
63001 ,Burlington                           ,Burlington                           ,43.315,-79.803 ,6       ,Burlington              ,HWY 2 & NORTH SHORE BLVD.
63301 ,Dorset                               ,Dorset                               ,45.224,-78.933 ,6       ,Dorset                  ,HWY 117 & PAINT LAKE ROAD
63701 ,Grand Bend                           ,Grand Bend                           ,43.333,-81.743 ,6       ,Grand Bend              ,HWY 21 & COUNTY RD 83
64001 ,Experimental Lakes                   ,Experimental Lakes                   ,49.664,-93.721 ,6       ,Exp. Lakes Area         ,EXP. LAKES AREA
64101 ,Algoma                               ,Algoma                               ,47.035,-84.381 ,6       ,Algoma                  ,ALGOMA
64401 ,Egbert                               ,Egbert                               ,44.233,-79.781 ,6       ,Egbert                  ,EGBERT
65001 ,Barrie                               ,Barrie                               ,44.382,-79.702 ,6       ,Barrie                  ,85 PERRY STREET
65101 ,Newmarket                            ,Newmarket                            ,44.044,-79.483 ,6       ,Newmarket               ,EAGLE ST. & McCAFFREY RD.
65201 ,Parry Sound                          ,Parry Sound                          ,45.338,-80.038 ,6       ,Parry Sound             ,7 BAY STREET
65301 ,Port Stanley                         ,Port Stanley                         ,42.672,-81.163 ,6       ,Port Stanley            ,43665 DEXTER LINE
65401 ,Belleville                           ,Belleville                           ,44.151,-77.396 ,6       ,Belleville              ,2 SIDNEY STREET
65801 ,Chatham                              ,Chatham                              ,42.404,-82.208 ,6       ,Chatam                  ,435 GRAND AVENUE W.
65901 ,Pickle Lake                          ,Pickle Lake                          ,51.449,-90.218 ,6       ,Pickle Lake             ,PICKLE LAKE
66101 ,Bonner Lake                          ,Bonner Lake                          ,49.386,-82.121 ,6       ,Moonbeam                ,
66201 ,Petawawa                             ,Petawawa                             ,45.997,-77.441 ,6       ,Petawawa                ,Petawawa Research Forest Facility
67001 ,Milton                               ,Milton                               ,43.530,-79.862 ,6       ,Milton                  ,"1120 Main St. E., Milton, ON"
70118 ,City of Winnipeg Flood Pump Station  ,City of Winnipeg Flood Pump Station  ,49.932,-97.113 ,7       ,Winnipeg                ,JEFFERSON & SCOTIA
70119 ,Winnipeg - 65 Ellen Street           ,Winnipeg - 65 Ellen Street           ,49.898,-97.147 ,7       ,Winnipeg                ,65 ELLEN STREET
70203 ,Assiniboine Comm. College            ,Assiniboine Comm. College            ,49.842,-99.919 ,7       ,Brandon                 ,1430 VICTORIA AVENUE EAST
70301 ,Flin Flon                            ,Flin Flon                            ,54.769,-101.878,7       ,Flin Flon               ,143 MAIN STREET
70501 ,Thompson                             ,Thompson                             ,55.747,-97.874 ,7       ,Thompson                ,
80110 ,Regina                               ,Regina                               ,50.450,-104.617,8       ,Regina                  ,2505 11TH. AVENUE
80211 ,Corman Park                          ,Corman Park                          ,52.136,-106.663,8       ,Saskatoon               ,511 1ST AVENUE NORTH
80402 ,Prince Albert                        ,Prince Albert                        ,53.202,-105.752,8       ,Prince Albert           ,63 - 12th STREET EAST
80502 ,Estevan                              ,Estevan                              ,49.132,-102.985,8       ,Estevan                 ,530 1A street
80901 ,Bratt's Lake                         ,Bratt's Lake                         ,50.203,-104.204,8       ,Bratt's Lake            ,RADIATION OBSERVATORY
81001 ,Speedy Creek                         ,Speedy Creek                         ,50.286,-107.817,8       ,Swift Current           ,1200 Begg Street West
82001 ,Pinehouse Lake                       ,Pinehouse Lake                       ,55.503,-106.722,8       ,                        ,
90120 ,Edmonton South                       ,Edmonton - sud                       ,53.500,-113.526,9       ,Edmonton                ,6240 113 STREET
90121 ,Edmonton East                        ,Edmonton - est                       ,53.548,-113.367,9       ,Edmonton                ,17 STREET & 105 AVENUE
90130 ,Edmonton Central                     ,Edmonton - centre                    ,53.544,-113.499,9       ,Edmonton                ,10255 - 104TH STREET
90133 ,Woodcroft                            ,Woodcroft                            ,53.564,-113.563,9       ,Edmonton                ,13915 - 115 Ave NW Edmonton
90134 ,Sherwood Park                        ,Sherwood Park                        ,53.532,-113.321,9       ,Sherwood Park           ,
90135 ,Ardrossan                            ,Ardrossan                            ,53.555,-113.145,9       ,Ardrossan               ,
90136 ,St. Albert                           ,St. Albert                           ,53.627,-113.612,9       ,St. Albert              ,
90222 ,Calgary Northwest                    ,Calgary - nord-ouest                 ,51.080,-114.143,9       ,Calgary                 ,39 ST. & 29 AVE. N.W.
90228 ,Calgary Central                      ,Calgary - centre                     ,51.048,-114.075,9       ,Calgary                 ,620 7th Ave South-West
90229 ,Calgary Southeast                    ,Calgary - sud-est                    ,50.955,-113.970,9       ,Calgary                 ,4700 110 Avenue SE
90250 ,Airdrie                              ,Airdrie                              ,51.268,-114.038,9       ,Airdrie                 ,Chinook Winds Park
90302 ,Red Deer - Riverside Drive           ,Red Deer - Riverside Drive           ,52.299,-113.794,9       ,Red Deer                ,73 STREET & RIVERSIDE DRIVE
90304 ,Red Deer - Lancaster                 ,Red Deer - Lancaster                 ,52.241,-113.765,9       ,Red Deer                ,11 Lancaster Drive
90402 ,Crescent Heights                     ,Crescent Heights                     ,50.053,-110.688,9       ,Medicine Hat            ,12th ST NW & Division Ave.
90502 ,Lethbridge                           ,Lethbridge                           ,49.716,-112.800,9       ,Lethbridge              ,
90601 ,Fort Saskatchewan                    ,Fort Saskatchewan                    ,53.710,-113.222,9       ,Fort Saskatchewan       ,9209A-96 Ave
90602 ,Range Road 220                       ,Range Road 220                       ,53.752,-113.126,9       ,Fort Saskatchewan       ,RGE RD 220 & RIVER ROAD
90603 ,Ross Creek                           ,Ross Creek                           ,53.716,-113.200,9       ,Fort Saskatchewan       ,100 AVE EAST OF 109ST.
90604 ,Scotford                             ,Scotford                             ,53.791,-113.079,9       ,Fort Saskatchewan       ,RGE RD 214 TWP RD 560
90606 ,Bruderheim                           ,Bruderheim                           ,53.800,-112.928,9       ,Bruderheim              ,
90607 ,Gibbons                              ,Gibbons                              ,53.827,-113.327,9       ,Gibbons                 ,Behind 4807 50 Ave
90608 ,Redwater                             ,Redwater                             ,53.952,-113.106,9       ,Redwater                ,4704 49th Avenue
90701 ,Athabasca Valley                     ,Valle de l'Athabasca                 ,56.733,-111.390,9       ,Fort McMurray           ,FRANKLIN AVENUE
90702 ,Patricia McInnes                     ,Patricia McInnes                     ,56.752,-111.476,9       ,Fort McMurray           ,TIMBERLEA SUBDIVISION
90801 ,Fort McKay                           ,Fort McKay                           ,57.189,-111.641,9       ,Fort McKay              ,MAIN STREET
90806 ,Syncrude UE1                         ,Syncrude UE1                         ,57.149,-111.642,9       ,Fort McKay              ,
91001 ,Esther                               ,Esther                               ,51.667,-110.200,9       ,Esther                  ,
